epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,23382.6,0.29644,0.19293,0.8665,0.96236,0.85991,0.91993,0.86656,0.39472,0.37049,0.97116,0.0014365,0.0014365,0.0014365
175,23515.8,0.29086,0.19178,0.86277,0.95968,0.85924,0.91879,0.86543,0.39556,0.37232,0.9727,0.001387,0.001387,0.001387
176,23649.2,0.29932,0.1958,0.86768,0.95658,0.85895,0.91822,0.86585,0.39366,0.36963,0.97039,0.0013375,0.0013375,0.0013375
177,23782.3,0.29272,0.19272,0.86158,0.9565,0.85951,0.91708,0.8643,0.39134,0.3704,0.96692,0.001288,0.001288,0.001288
178,23915.6,0.28828,0.18747,0.86126,0.95644,0.85967,0.91736,0.86404,0.38834,0.36997,0.96213,0.0012385,0.0012385,0.0012385
179,24048.7,0.29029,0.18962,0.86251,0.95529,0.85946,0.91738,0.8642,0.38632,0.37439,0.95883,0.001189,0.001189,0.001189
180,24181.7,0.28353,0.18654,0.85987,0.97057,0.84739,0.91714,0.86381,0.38617,0.37432,0.95888,0.0011395,0.0011395,0.0011395
181,24314.7,0.28827,0.19026,0.86369,0.95741,0.85901,0.91737,0.86407,0.38699,0.37062,0.96084,0.00109,0.00109,0.00109
182,24448.1,0.2886,0.18687,0.86255,0.95775,0.85914,0.91851,0.86459,0.38545,0.37272,0.95852,0.0010405,0.0010405,0.0010405
183,24581.2,0.28396,0.1832,0.86338,0.95769,0.85931,0.91947,0.86489,0.38536,0.37193,0.9587,0.000991,0.000991,0.000991
